origen,destino,tipo,relacion_original,negada,documento_id,documento_fecha,frase_evidencia
DOC_1857,Defensor,MENCIONA,MENCIONA_DOCUMENTO,False,1857,1982-02-25,
Coronel Escandell,Defensor,MENCIONA,MENCIONA,False,1857,1982-02-25,"Al reanudarse la sesión, el Coronel ESCANDELL (defensor del Teniente General MILANS DEL BOSCH y del Coronel IBAÑEZ) solicitó la lectura de la declaración del Teniente General GUTIERREZ MELLADO -y de las Hojas de Servicios de sus defendidos."
Coronel Escandell,Teniente General Milans Del Bosch,SOLICITA,SOLICITA,False,1857,1982-02-25,"Al reanudarse la sesión, el Coronel ESCANDELL (defensor del Teniente General MILANS DEL BOSCH y del Coronel IBAÑEZ) solicitó la lectura de la declaración del Teniente General GUTIERREZ MELLADO -y de las Hojas de Servicios de sus defendidos."
DOC_1857,Teniente General Milans Del Bosch,MENCIONA,MENCIONA_DOCUMENTO,False,1857,1982-02-25,
Coronel Escandell,Teniente General Milans Del Bosch,MENCIONA,MENCIONA,False,1857,1982-02-25,"Al reanudarse la sesión, el Coronel ESCANDELL (defensor del Teniente General MILANS DEL BOSCH y del Coronel IBAÑEZ) solicitó la lectura de la declaración del Teniente General GUTIERREZ MELLADO -y de las Hojas de Servicios de sus defendidos."
Defensor,Teniente General Milans Del Bosch,SOLICITA,SOLICITA,False,1857,1982-02-25,"Al reanudarse la sesión, el Coronel ESCANDELL (defensor del Teniente General MILANS DEL BOSCH y del Coronel IBAÑEZ) solicitó la lectura de la declaración del Teniente General GUTIERREZ MELLADO -y de las Hojas de Servicios de sus defendidos."
Defensor,Teniente General Milans Del Bosch,MENCIONA,MENCIONA,False,1857,1982-02-25,"Al reanudarse la sesión, el Coronel ESCANDELL (defensor del Teniente General MILANS DEL BOSCH y del Coronel IBAÑEZ) solicitó la lectura de la declaración del Teniente General GUTIERREZ MELLADO -y de las Hojas de Servicios de sus defendidos."
Defensor,Presidente,SOLICITA,SOLICITA,False,1857,1982-02-25,"Después de una breve confrontación con el Presidente y Secretario relator, sobre la extensión de lo solicitado, éste inició la lectura de aquellos ---apartados de las Hojas que sucesivamente le marcaba el defensor Sr."
DOC_1857,Presidente,MENCIONA,MENCIONA_DOCUMENTO,False,1857,1982-02-25,
Defensor,Presidente,MENCIONA,MENCIONA,False,1857,1982-02-25,"Después de una breve confrontación con el Presidente y Secretario relator, sobre la extensión de lo solicitado, éste inició la lectura de aquellos ---apartados de las Hojas que sucesivamente le marcaba el defensor Sr."
Defensor,Secretario Relator,SOLICITA,SOLICITA,False,1857,1982-02-25,"Después de una breve confrontación con el Presidente y Secretario relator, sobre la extensión de lo solicitado, éste inició la lectura de aquellos ---apartados de las Hojas que sucesivamente le marcaba el defensor Sr."
DOC_1857,Secretario Relator,MENCIONA,MENCIONA_DOCUMENTO,False,1857,1982-02-25,
Defensor,Secretario Relator,MENCIONA,MENCIONA,False,1857,1982-02-25,"Después de una breve confrontación con el Presidente y Secretario relator, sobre la extensión de lo solicitado, éste inició la lectura de aquellos ---apartados de las Hojas que sucesivamente le marcaba el defensor Sr."
