documento_id,documento_titulo,documento_url,documento_fecha,entidad_1,relacion,negada,entidad_2,frase_evidencia
1858,Vista oral 2/81 del Consejo Supremo de Justicia Militar (24 de febrero de 1982).,https://23fbuscador.rtve.es/document/ocr/1858,1982-02-24,Capitán,SOLICITA,False,Fiscal,Fiscal solicitando la lectura de las siguientes diligencias:  - 1ª y 3ª declaraciones del Capitán de la Guardia Civil Don JOSE LUIS ABAD GUTIERREZ.
1858,Vista oral 2/81 del Consejo Supremo de Justicia Militar (24 de febrero de 1982).,https://23fbuscador.rtve.es/document/ocr/1858,1982-02-24,Capitán,SOLICITA,False,La Guardia Civil,Fiscal solicitando la lectura de las siguientes diligencias:  - 1ª y 3ª declaraciones del Capitán de la Guardia Civil Don JOSE LUIS ABAD GUTIERREZ.
1858,Vista oral 2/81 del Consejo Supremo de Justicia Militar (24 de febrero de 1982).,https://23fbuscador.rtve.es/document/ocr/1858,1982-02-24,Fiscal,SOLICITA,False,La Guardia Civil,Fiscal solicitando la lectura de las siguientes diligencias:  - 1ª y 3ª declaraciones del Capitán de la Guardia Civil Don JOSE LUIS ABAD GUTIERREZ.
1858,Vista oral 2/81 del Consejo Supremo de Justicia Militar (24 de febrero de 1982).,https://23fbuscador.rtve.es/document/ocr/1858,1982-02-24,Capitán,SOLICITA,False,Fiscal,Fiscal solicitó la lectura de:  - 1ª declaración y declaración indagatoria del Capitán de la Guardia Civil Don CARLOS LAZARO GORTAIN.
1858,Vista oral 2/81 del Consejo Supremo de Justicia Militar (24 de febrero de 1982).,https://23fbuscador.rtve.es/document/ocr/1858,1982-02-24,Capitán,MENCIONA,False,Fiscal,Fiscal solicitó la lectura de:  - 1ª declaración y declaración indagatoria del Capitán de la Guardia Civil Don CARLOS LAZARO GORTAIN.
1858,Vista oral 2/81 del Consejo Supremo de Justicia Militar (24 de febrero de 1982).,https://23fbuscador.rtve.es/document/ocr/1858,1982-02-24,Capitán,SOLICITA,False,La Guardia Civil,Fiscal solicitó la lectura de:  - 1ª declaración y declaración indagatoria del Capitán de la Guardia Civil Don CARLOS LAZARO GORTAIN.
1858,Vista oral 2/81 del Consejo Supremo de Justicia Militar (24 de febrero de 1982).,https://23fbuscador.rtve.es/document/ocr/1858,1982-02-24,Capitán,MENCIONA,False,La Guardia Civil,Fiscal solicitó la lectura de:  - 1ª declaración y declaración indagatoria del Capitán de la Guardia Civil Don CARLOS LAZARO GORTAIN.
1858,Vista oral 2/81 del Consejo Supremo de Justicia Militar (24 de febrero de 1982).,https://23fbuscador.rtve.es/document/ocr/1858,1982-02-24,Fiscal,SOLICITA,False,La Guardia Civil,Fiscal solicitó la lectura de:  - 1ª declaración y declaración indagatoria del Capitán de la Guardia Civil Don CARLOS LAZARO GORTAIN.
1858,Vista oral 2/81 del Consejo Supremo de Justicia Militar (24 de febrero de 1982).,https://23fbuscador.rtve.es/document/ocr/1858,1982-02-24,Fiscal,MENCIONA,False,La Guardia Civil,Fiscal solicitó la lectura de:  - 1ª declaración y declaración indagatoria del Capitán de la Guardia Civil Don CARLOS LAZARO GORTAIN.
1858,Vista oral 2/81 del Consejo Supremo de Justicia Militar (24 de febrero de 1982).,https://23fbuscador.rtve.es/document/ocr/1858,1982-02-24,El Mando,SOLICITA,False,La Sala,"Añadían que consideraban tener derecho a ser amparados por el Mando a este respecto, a tenor de lo establecido en las Reales Ordenanzas y solicitaban que por la Sala se adoptaran las medidas oportunas para retirar las acreditaciones de/los representantes del diario en cuestión."
